,SELFESTEEM,0
326,3.0,31.029875
327,3.3,29.85311
328,3.1,28.92685
329,3.1,33.106777
330,3.2,29.301884
331,3.5,34.077477
332,3.2,32.82001
333,2.8,36.145008
334,2.2,28.938183
335,2.7,29.24303
336,2.5,27.131203
337,3.7,39.590664
338,3.3,33.31792
339,2.3,22.334785
340,3.7,32.81101
341,2.7,29.246605
342,2.6,27.9827
343,2.8,29.349987
344,3.6,38.4185
345,3.4,31.006035
346,2.5,25.121222
347,3.2,32.705826
348,3.1,31.168612
349,2.8,27.8243
350,3.2,25.665882
351,3.1,28.560362
352,2.8,30.640411
353,3.3,33.865417
354,2.5,28.727663
355,2.6,31.2275
356,2.3,31.080368
357,2.7,29.790234
358,3.7,29.191177
359,3.1,32.629604
360,2.2,29.722652
361,3.5,38.717113
362,3.2,29.33475
363,2.5,30.923859
364,3.4,33.579174
365,3.0,30.687801
366,2.8,23.169456
367,3.0,30.637907
368,3.1,30.618813
369,3.7,32.789223
370,3.4,37.513096
371,3.4,37.029995
372,3.1,30.730734
373,2.9,28.013287
374,3.6,38.432796
375,3.2,32.52933
376,2.8,26.455349
377,2.8,30.25754
378,3.1,33.15868
379,2.6,35.639347
380,2.4,27.096062
381,3.4,35.717
382,3.0,30.373678
383,2.7,32.996468
384,3.7,34.536076
385,3.0,30.8319
386,3.7,31.314873
387,2.7,30.940907
388,3.0,29.077068
389,2.7,32.618374
390,3.7,30.371458
391,3.0,33.61996
392,2.5,24.553673
393,2.7,29.30067
394,3.1,25.947134
395,2.7,33.936535
396,2.8,33.355682
397,3.7,30.936195
398,2.4,27.219053
399,3.2,34.226074
400,3.0,34.112106
401,2.9,35.34218
402,2.5,29.143879
403,3.6,35.516743
404,3.4,34.517673
405,2.8,29.031164
406,3.1,33.35008
407,3.2,33.59682
408,2.3,33.545574
409,3.4,32.960373
410,3.5,31.998695
411,2.5,26.563671
412,2.5,26.499813
413,2.6,32.468002
414,2.0,23.748627
415,3.0,31.951492
