,ATYPI,0
210,54.16666667,46.261635
211,43.0,42.550922
212,78.0,43.709866
213,41.0,36.805756
214,41.0,41.58824
215,47.92307692,47.35609
216,79.0,50.951954
217,44.0,44.27425
218,94.0,48.402378
219,67.0,55.839622
220,51.53333333,51.268948
221,48.9,43.312733
222,51.53333333,48.479843
223,48.9,44.499317
224,41.0,41.815403
225,47.07692308,45.14816
226,46.0,40.488197
227,43.0,37.62245
228,59.0,43.500603
229,47.0,47.249928
230,46.0,48.223164
231,80.0,47.4206
232,54.0,50.277603
233,61.0,52.3024
234,69.0,50.725864
235,65.0,58.1538
236,52.0,45.376823
237,49.1025641,40.00822
238,49.0,40.51242
239,56.8,45.19395
240,55.0,49.977276
241,45.05128205,43.306942
242,43.0,42.853077
243,41.0,42.112473
244,55.0,42.066093
245,62.0,56.950058
246,41.0,40.791576
247,43.02564103,43.79885
248,53.0,45.900883
249,59.0,46.832226
250,51.0,46.16827
251,52.0,43.315006
252,57.0,52.247475
253,49.0,45.20189
254,57.0,38.402218
255,54.0,45.94909
256,41.0,45.279568
257,49.0,42.769814
258,94.0,46.51316
259,62.0,51.306393
260,49.0,48.105392
261,59.0,51.393555
262,41.0,36.539425
263,47.0,47.749527
264,44.0,42.28652
265,54.0,46.801567
266,57.0,39.808586
267,41.0,41.815403
268,41.0,41.67401
269,46.26666667,40.001568
270,41.0,41.48964
271,49.0,45.611546
272,41.0,41.3435
273,47.0,42.631313
274,43.02564103,35.92834
275,51.0,48.6456
276,49.1025641,45.555283
277,62.06666667,48.92276
278,62.0,53.236446
279,43.30769231,39.563305
280,73.0,49.353745
281,43.63333333,43.084747
282,44.0,44.620678
283,43.63333333,41.3458
284,46.0,45.25573
285,45.05128205,43.104862
286,51.12820513,43.27845
287,49.0,40.69492
288,65.0,45.176445
289,43.0,47.025764
290,41.0,41.905933
291,46.0,43.083035
292,59.0,48.727715
293,75.0,54.74057
294,49.0,41.18313
295,49.0,47.575027
296,48.9,47.055515
297,41.0,43.066643
298,46.0,43.699966
299,54.0,46.172325
300,43.02564103,46.23107
301,47.0,45.42633
302,62.0,56.110256
303,41.0,41.232086
304,46.26666667,42.676144
305,41.0,40.156693
306,41.0,39.43341
307,41.0,46.565605
308,66.0,56.782627
309,48.9,43.28012
310,44.0,44.059616
311,46.0,41.518597
312,41.0,43.394413
313,52.0,47.552273
314,51.53333333,44.841602
315,41.0,41.07583
316,41.0,37.53519
317,86.0,49.84654
318,45.0,40.928596
319,49.0,45.151188
320,116.0,48.54803
321,43.02564103,40.56927
322,47.0,45.317482
323,49.0,40.691345
324,45.0,41.321968
325,59.0,51.75782
326,46.0,39.90799
327,45.0,43.034058
328,57.0,51.81924
329,47.0,41.45247
330,62.0,44.954617
331,44.0,45.98621
332,53.0,46.641228
333,64.07692308,47.493984
334,50.0,41.948494
335,49.0,46.0572
336,41.0,40.393353
337,45.0,42.28098
338,43.63333333,38.75435
339,53.0,45.713585
340,57.20512821,41.7462
341,96.0,54.17685
342,43.0,41.31938
343,81.0,51.689926
344,41.0,44.203297
345,41.0,47.9941
346,44.0,43.27819
347,75.0,43.861027
348,43.63333333,37.940323
349,41.0,37.29591
350,54.16666667,46.78741
351,52.0,47.984108
352,44.0,38.24848
353,52.0,47.77188
354,46.0,41.303265
355,45.0,44.37921
356,51.0,45.644127
357,47.0,44.46739
358,53.0,50.056824
359,75.0,55.116734
360,43.02564103,42.42935
361,49.0,40.941067
362,57.0,49.615948
363,41.0,38.03398
364,41.0,40.651924
365,43.0,45.985973
366,43.02564103,41.328224
367,43.0,42.36323
368,51.53333333,45.494064
369,52.0,44.477043
370,41.0,50.487293
371,96.0,45.01802
372,48.9,41.324123
373,70.0,49.784492
374,73.0,44.597878
375,48.9,42.846924
376,73.0,58.423832
377,41.0,40.085
378,46.0,42.977535
379,43.0,46.563404
380,70.0,52.23874
381,41.0,39.60495
382,41.0,41.99622
383,44.0,42.498257
384,46.0,42.245304
385,51.53333333,46.16839
386,83.0,50.08519
387,63.0,55.416233
388,65.0,55.262535
389,55.17948718,45.55846
390,43.63333333,42.02429
391,41.0,39.56747
392,49.0,43.350994
393,57.0,53.574947
394,55.17948718,49.374214
395,44.0,35.56338
396,73.0,58.190453
397,43.63333333,44.691223
398,92.0,51.51656
399,43.0,42.816795
400,41.0,37.01542
401,67.0,42.03224
402,46.26666667,41.23325
403,41.0,44.638016
404,57.0,48.79417
405,43.02564103,38.3371
406,48.9,49.586124
407,43.0,39.766224
408,46.26666667,43.686913
409,85.0,51.919
410,41.0,39.648582
411,91.0,42.24392
412,54.0,41.99454
413,49.0,45.991516
414,88.0,47.514843
415,63.28205128,53.608772
416,52.0,48.24625
417,46.0,38.405018
418,41.0,41.28728
419,46.26666667,41.533886
