,WDR,0
305,45.0,47.885868
306,45.0,50.022285
307,55.0,45.136116
308,70.0,70.4446
309,95.0,58.62487
310,95.0,49.414898
311,85.0,53.036766
312,5.0,62.799873
313,55.0,59.377907
314,70.0,73.576614
315,70.0,38.068943
316,40.0,59.8866
317,85.0,72.90269
318,5.0,48.86224
319,40.0,74.79554
320,15.0,31.60122
321,70.0,61.168488
322,55.0,61.899986
323,90.0,48.005013
324,15.0,29.016926
325,5.0,60.86573
326,70.0,63.821606
327,70.0,43.109573
328,75.0,72.03373
329,45.0,55.66378
330,15.0,38.731457
331,45.0,50.892197
332,85.0,62.6442
333,40.0,40.23327
334,95.0,71.7126
335,70.0,61.299603
336,55.0,60.92061
337,45.0,81.863655
338,45.0,58.60392
339,70.0,61.6052
340,40.0,35.050827
341,25.0,27.74669
342,15.0,59.968166
343,15.0,66.465614
344,70.0,44.99202
345,15.0,36.709946
346,15.0,53.19757
347,45.0,46.451057
348,60.0,64.37785
349,5.0,3.4596837
350,90.0,73.47605
351,25.0,58.844925
352,70.0,67.11114
353,70.0,73.554504
354,45.0,70.06313
355,25.0,54.3923
356,60.0,65.245804
357,45.0,39.93444
358,40.0,29.93273
359,60.0,57.436302
360,80.0,75.77009
361,80.0,64.37414
362,85.0,91.211464
363,75.0,84.07351
364,15.0,25.358124
365,95.0,86.31825
366,25.0,50.10262
367,75.0,60.232185
368,40.0,37.39993
369,60.0,60.470108
370,55.0,53.63752
371,95.0,81.22218
372,10.0,61.607555
373,15.0,37.1495
374,5.0,52.58932
375,5.0,44.049004
376,45.0,41.905876
377,80.0,77.65647
378,80.0,53.31151
379,80.0,74.1998
380,60.0,58.546432
381,60.0,55.879845
382,70.0,64.026665
383,75.0,71.22425
384,40.0,49.02578
385,40.0,33.94938
386,40.0,50.278893
387,25.0,38.10374
388,5.0,28.695435
389,5.0,37.646923
390,80.0,77.75943
391,40.0,47.999573
392,45.0,53.318245
393,95.0,45.603077
394,15.0,54.293335
395,30.0,62.553894
396,25.0,58.672226
397,95.0,85.619415
398,55.0,60.214916
399,80.0,77.069046
400,80.0,62.918785
401,90.0,79.14924
402,70.0,57.40121
403,95.0,56.15698
404,70.0,69.37849
405,60.0,73.901955
406,25.0,51.772697
407,70.0,69.78717
408,15.0,33.55423
409,95.0,71.9102
410,30.0,57.65901
411,15.0,34.011112
412,70.0,62.597122
413,75.0,62.128944
414,30.0,45.53476
415,40.0,47.519497
416,85.0,77.70827
417,70.0,65.13696
418,25.0,47.63673
419,70.0,61.279175
420,75.0,69.036385
421,70.0,63.406265
422,15.0,28.100243
423,25.0,40.417877
424,40.0,63.03583
425,75.0,71.98818
426,90.0,60.40938
427,25.0,45.004784
428,45.0,66.09038
429,85.0,72.51972
430,55.0,66.97381
431,70.0,56.247543
432,70.0,74.57372
433,70.0,69.432274
434,55.0,63.044872
435,25.0,43.553463
