,REP,0
347,25.0,19.177637
348,25.0,24.505272
349,5.0,22.522017
350,40.0,31.743788
351,60.0,31.905949
352,20.0,24.764519
353,100.0,30.16347
354,10.0,24.460424
355,35.0,25.183498
356,5.0,22.962078
357,70.0,27.138617
358,70.0,41.69269
359,75.0,20.626648
360,100.0,26.59144
361,35.0,15.013648
362,5.0,19.420914
363,20.0,12.3794775
364,10.0,23.7908
365,35.0,32.104088
366,75.0,35.0523
367,40.0,24.13161
368,70.0,41.91044
369,55.0,29.772377
370,70.0,30.175978
371,60.0,25.056507
372,10.0,36.59149
373,75.0,35.963894
374,55.0,31.415905
375,90.0,27.894876
376,5.0,7.3349695
377,60.0,32.478355
378,25.0,21.364138
379,55.0,29.622793
380,35.0,24.458897
381,25.0,28.018867
382,55.0,23.853708
383,5.0,20.081535
384,35.0,29.227928
385,40.0,18.7295
386,35.0,31.013811
387,20.0,26.168703
388,5.0,21.129393
389,60.0,16.83876
390,100.0,33.19415
391,70.0,25.455484
392,5.0,25.465511
393,35.0,32.320236
394,10.0,24.59114
395,20.0,21.016865
396,5.0,11.335959
397,5.0,23.207485
398,60.0,35.436375
399,35.0,22.468405
400,5.0,20.845566
401,5.0,23.670408
402,85.0,34.632484
403,70.0,26.507938
404,55.0,27.329655
405,35.0,30.477057
406,85.0,25.25476
407,85.0,20.827248
408,100.0,32.17024
409,35.0,32.4473
410,70.0,26.36666
411,10.0,14.399462
412,100.0,36.276764
413,55.0,23.149231
414,10.0,15.6289
415,85.0,31.672434
416,100.0,27.02064
417,20.0,28.506824
418,55.0,48.097538
419,40.0,25.436989
420,60.0,27.496449
421,40.0,39.099453
422,35.0,15.784034
423,25.0,16.934605
424,20.0,17.537724
425,25.0,15.869798
426,85.0,28.798367
427,10.0,28.398092
428,20.0,20.722157
429,85.0,32.19829
430,55.0,28.2069
431,40.0,23.157284
432,35.0,24.5788
433,40.0,30.446398
434,10.0,30.718346
435,55.0,36.026573
436,35.0,34.724342
437,85.0,18.3431
438,5.0,21.032745
439,40.0,17.58216
440,5.0,22.60594
441,35.0,32.93192
442,20.0,25.444252
443,40.0,22.811441
444,5.0,17.507208
445,20.0,25.737055
446,10.0,19.96814
447,20.0,29.807913
448,35.0,19.876625
449,100.0,55.100876
450,35.0,29.380358
451,55.0,28.728992
452,35.0,20.119635
453,75.0,32.631073
454,75.0,34.70555
455,5.0,26.28005
456,25.0,23.99448
457,5.0,0.0
458,55.0,26.74701
459,25.0,30.192719
460,10.0,29.962097
461,25.0,26.718342
462,5.0,25.378464
463,20.0,24.567934
464,5.0,19.591282
465,35.0,24.03553
466,10.0,18.556501
467,85.0,39.62854
468,70.0,37.786587
469,40.0,22.368519
470,70.0,37.205914
471,70.0,30.863617
472,85.0,36.02461
473,5.0,24.146523
474,60.0,24.376842
475,20.0,23.885174
476,20.0,24.344028
477,55.0,37.584423
478,35.0,28.633415
479,55.0,17.78883
480,5.0,15.449858
481,5.0,26.95841
482,55.0,29.976606
483,10.0,28.499386
484,25.0,30.491276
485,20.0,32.549213
486,60.0,32.095333
487,55.0,27.917152
488,55.0,44.28692
489,90.0,18.983238
490,70.0,26.795397
491,55.0,32.010433
492,10.0,24.281574
493,95.0,42.464165
494,35.0,37.181084
