,CON,0
253,85.0,31.917118
254,100.0,37.23473
255,100.0,46.127148
256,5.0,21.904224
257,5.0,39.63886
258,5.0,17.914469
259,5.0,30.777395
260,5.0,27.475811
261,5.0,33.549297
262,5.0,19.617025
263,5.0,18.446884
264,5.0,25.91494
265,5.0,27.837347
266,5.0,24.703785
267,90.0,31.419985
268,5.0,37.00328
269,100.0,29.093445
270,5.0,25.439245
271,100.0,41.194378
272,100.0,42.754463
273,5.0,32.352333
274,5.0,34.979935
275,100.0,38.548416
276,5.0,46.191128
277,90.0,32.11385
278,5.0,27.917273
279,5.0,29.12194
280,5.0,29.616236
281,5.0,28.788439
282,5.0,28.574265
283,5.0,25.66641
284,100.0,41.238644
285,5.0,22.241713
286,90.0,28.554438
287,5.0,17.614382
288,5.0,23.743193
289,85.0,38.6411
290,5.0,25.599043
291,100.0,49.314365
292,5.0,36.76691
293,5.0,32.121586
294,85.0,38.325657
295,5.0,30.692064
296,5.0,35.945766
297,90.0,41.04737
298,5.0,24.653776
299,5.0,19.773577
300,100.0,24.59251
301,5.0,45.30668
302,5.0,26.759563
303,5.0,32.177525
304,5.0,19.140448
305,5.0,23.10684
306,5.0,34.088684
307,100.0,37.07638
308,5.0,16.07216
309,5.0,24.819506
310,90.0,29.597746
311,5.0,20.793257
312,5.0,23.904436
313,5.0,30.484312
314,80.0,19.072847
315,5.0,35.227707
316,80.0,36.407425
317,95.0,42.5865
318,80.0,48.152756
319,80.0,35.53067
320,5.0,24.461498
321,95.0,38.57338
322,5.0,34.447388
323,5.0,26.430307
324,5.0,21.779749
325,95.0,40.33889
326,5.0,23.81391
327,80.0,38.894276
328,5.0,21.360592
329,100.0,37.127808
330,100.0,29.553732
331,90.0,32.478943
332,5.0,29.454252
333,100.0,34.583057
334,90.0,43.111214
335,5.0,30.234745
336,100.0,42.00621
337,90.0,37.194843
338,80.0,38.450645
339,5.0,25.347235
340,100.0,32.520214
341,5.0,33.848328
342,5.0,21.346453
343,5.0,32.1893
344,80.0,32.49427
345,5.0,22.43549
346,5.0,29.242075
347,5.0,22.630112
348,5.0,24.903044
349,90.0,31.615564
350,95.0,37.318382
351,5.0,34.96837
352,100.0,45.21631
353,5.0,26.453535
354,100.0,32.70221
355,5.0,31.623138
356,5.0,38.914955
357,5.0,28.542414
358,5.0,28.371517
359,100.0,34.4933
360,5.0,30.608248
361,100.0,33.466053
362,95.0,47.859303
363,5.0,13.753464
364,5.0,17.867981
365,5.0,29.95266
366,5.0,23.132643
367,95.0,32.9011
368,5.0,37.272026
