,MANIPULATIVENESS,0
364,0.5,15.658023
365,1.25,20.303846
366,0.0,12.370183
367,0.5,10.671038
368,0.0,11.695302
369,1.5,21.206287
370,0.25,10.280366
371,1.0,18.875961
372,0.0,9.160427
373,0.75,8.859669
374,1.5,17.797707
375,1.0,17.3665
376,0.0,14.396859
377,2.5,17.78311
378,0.0,11.560837
379,0.75,9.652965
380,2.25,16.272911
381,0.25,14.229739
382,2.75,18.777962
383,0.25,14.413952
384,0.25,16.670904
385,2.75,19.79039
386,0.75,14.88188
387,0.25,15.537264
388,0.0,10.772115
389,0.75,9.665633
390,0.75,12.186259
391,0.75,9.775992
392,0.25,16.926
393,0.5,9.317317
394,1.5,14.950483
395,1.5,12.917953
396,0.5,12.487885
397,0.5,12.041805
398,1.25,16.297403
399,2.75,17.61135
400,0.25,14.646903
401,0.5,13.441625
402,2.0,13.785023
403,0.0,13.466399
404,0.5,19.548615
405,0.75,13.926443
406,1.75,19.432478
407,0.25,16.602924
408,0.0,13.03295
409,0.75,14.767417
410,0.0,10.342202
411,1.5,15.546371
412,0.75,13.638839
413,1.75,14.963229
414,0.25,12.530589
415,0.0,11.250804
