,NEG_EMOT,0
258,54.0,23.570719
259,54.0,24.95165
260,44.0,20.391994
261,65.0,20.619495
262,47.0,24.283342
263,54.0,18.434175
264,54.0,22.042574
265,68.0,25.156094
266,40.0,22.087183
267,51.0,19.9812
268,44.0,21.736067
269,61.0,23.87343
270,44.0,15.857064
271,58.0,24.486835
272,40.0,19.344027
273,51.0,23.295744
274,47.0,21.35921
275,61.0,24.290646
276,33.0,22.21264
277,54.0,23.191366
278,58.0,23.210133
279,61.0,22.202135
280,68.0,24.105835
281,58.0,22.344763
282,54.0,24.02637
283,44.0,16.324766
284,54.0,21.014069
285,33.0,17.533438
286,51.0,19.182817
287,61.0,26.397257
288,68.0,26.564596
289,65.0,25.327183
290,47.0,20.437048
291,58.0,26.085567
292,58.0,25.62487
293,40.0,22.439335
294,58.0,24.248608
295,75.0,25.441046
296,47.0,20.44354
297,54.0,17.079435
298,51.0,21.039686
299,40.0,20.886288
300,61.0,26.304617
301,47.0,20.23957
302,68.0,22.198046
303,33.0,17.830523
304,47.0,20.772934
305,54.0,24.036274
306,40.0,16.766838
307,58.0,24.441797
308,47.0,22.194674
309,61.0,24.2012
310,54.0,20.703104
311,44.0,19.044436
312,44.0,22.637789
313,58.0,26.195372
314,54.0,25.337315
315,44.0,20.516481
316,61.0,18.744043
317,51.0,23.70469
318,47.0,23.965925
319,58.0,23.6576
320,47.0,20.969193
321,54.0,20.017971
322,61.0,22.09348
323,68.0,26.621363
324,33.0,19.357111
325,72.0,22.176786
326,44.0,22.205597
327,54.0,23.170132
328,58.0,22.728977
329,40.0,24.081182
330,44.0,16.616282
331,51.0,20.706882
332,61.0,20.462894
333,58.0,21.645964
334,58.0,25.289371
335,40.0,20.97949
336,54.0,22.238472
337,51.0,20.972431
338,58.0,17.61505
339,51.0,21.135645
340,44.0,19.565533
341,61.0,18.49973
342,51.0,19.806868
343,44.0,20.197138
344,54.0,26.420492
345,75.0,25.602556
346,47.0,18.37589
347,79.0,24.177273
348,51.0,22.042057
349,51.0,20.916925
350,37.0,20.7802
351,47.0,21.000082
352,47.0,22.148893
353,51.0,20.773298
354,51.0,22.337803
355,37.0,18.751917
356,51.0,20.610626
357,68.0,20.376047
358,58.0,25.19876
359,65.0,22.211065
360,33.0,23.528082
361,54.0,16.955761
362,61.0,21.95695
363,72.0,28.050943
364,54.0,24.29217
365,51.0,21.567907
366,47.0,20.144182
367,40.0,21.288298
368,44.0,19.530338
369,51.0,22.842024
370,33.0,18.611982
371,61.0,25.000528
372,33.0,19.625708
373,51.0,22.207182
374,40.0,18.070698
375,44.0,21.645636
376,58.0,21.910278
377,47.0,19.324331
378,40.0,17.27762
379,47.0,18.744844
380,47.0,23.478243
381,47.0,20.98179
382,54.0,24.620161
383,47.0,21.020193
384,47.0,22.82392
385,37.0,20.87963
386,54.0,19.880604
387,51.0,26.152878
388,65.0,24.66363
389,40.0,19.12295
390,47.0,17.595884
391,61.0,23.359299
392,51.0,22.511232
393,54.0,22.449535
394,51.0,20.906265
395,65.0,22.129406
396,54.0,20.727688
397,44.0,22.073286
398,61.0,23.52795
399,51.0,21.904318
400,44.0,22.725904
401,58.0,21.440538
402,37.0,15.831506
403,61.0,20.31123
404,44.0,19.996181
405,58.0,26.403616
406,65.0,23.370878
407,65.0,25.49235
408,54.0,24.741266
409,75.0,24.728216
410,44.0,19.655542
411,51.0,20.523808
412,44.0,19.221003
413,44.0,23.437002
414,47.0,21.092512
415,40.0,23.641243
416,58.0,20.289085
417,58.0,21.213148
418,51.0,18.245495
419,47.0,22.234522
420,61.0,21.97357
421,65.0,23.01105
422,47.0,19.026648
423,51.0,22.011557
424,72.0,26.047966
425,40.0,23.34081
426,65.0,23.5487
427,44.0,19.077269
428,51.0,22.579685
429,72.0,24.14957
430,54.0,13.759559
431,44.0,23.823284
432,37.0,17.483143
433,61.0,24.891
434,65.0,23.858881
435,44.0,18.805626
436,33.0,18.621752
437,40.0,22.503614
438,61.0,25.30739
